time,ch3_clamp_diode
-0.0177683,5.96046e-10
-0.0177651,0.02
-0.0177619,5.96046e-10
-0.0177587,5.96046e-10
-0.0177555,0.02
-0.0177523,0.02
-0.0177491,0.02
-0.0177459,0.02
-0.0177427,0.02
-0.0177395,5.96046e-10
-0.0177363,5.96046e-10
-0.0177331,5.96046e-10
-0.0177299,5.96046e-10
-0.0177267,5.96046e-10
-0.0177235,0.02
-0.0177203,0.02
-0.0177171,0.02
-0.0177139,5.96046e-10
-0.0177107,0.02
-0.0177075,5.96046e-10
-0.0177043,0.02
-0.0177011,0.02
-0.0176979,0.02
-0.0176947,0.02
-0.0176915,0.02
-0.0176883,0.02
-0.0176851,0.02
-0.0176819,5.96046e-10
-0.0176787,5.96046e-10
-0.0176755,5.96046e-10
-0.0176723,5.96046e-10
-0.0176691,0.02
-0.0176659,0.02
-0.0176627,5.96046e-10
-0.0176595,5.96046e-10
-0.0176563,0.02
-0.0176531,5.96046e-10
-0.0176499,0.02
-0.0176467,0.02
-0.0176435,0.02
-0.0176403,0.02
-0.0176371,5.96046e-10
-0.0176339,0.02
-0.0176307,0.02
-0.0176275,5.96046e-10
-0.0176243,5.96046e-10
-0.0176211,0.02
-0.0176179,0.02
-0.0176147,5.96046e-10
-0.0176115,0.02
-0.0176083,0.02
-0.0176051,0.02
-0.0176019,0.02
-0.0175987,0.02
-0.0175955,5.96046e-10
-0.0175923,5.96046e-10
-0.0175891,5.96046e-10
-0.0175859,0.02
-0.0175827,0.02
-0.0175795,5.96046e-10
-0.0175763,0.02
-0.0175731,0.02
-0.0175699,0.02
-0.0175667,5.96046e-10
-0.0175635,5.96046e-10
-0.0175603,5.96046e-10
-0.0175571,0.02
-0.0175539,5.96046e-10
-0.0175507,0.02
-0.0175475,0.02
-0.0175443,0.02
-0.0175411,5.96046e-10
-0.0175379,0.02
-0.0175347,5.96046e-10
-0.0175315,5.96046e-10
-0.0175283,5.96046e-10
-0.0175251,0.02
-0.0175219,0.02
-0.0175187,0.02
-0.0175155,0.02
-0.0175123,5.96046e-10
-0.0175091,5.96046e-10
-0.0175059,0.02
-0.0175027,0.02
-0.0174995,0.02
-0.0174963,0.02
-0.0174931,0.02
-0.0174899,0.02
-0.0174867,0.02
-0.0174835,0.02
