time,ch1_thermo
-0.0167955,0.58
-0.0167923,0.58
-0.0167891,0.58
-0.0167859,0.58
-0.0167827,0.58
-0.0167795,0.58
-0.0167763,0.58
-0.0167731,0.58
-0.0167699,0.58
-0.0167667,0.58
-0.0167635,0.58
-0.0167603,0.58
-0.0167571,0.58
-0.0167539,0.58
-0.0167507,0.58
-0.0167475,0.58
-0.0167443,0.58
-0.0167411,0.58
-0.0167379,0.58
-0.0167347,0.58
-0.0167315,0.58
-0.0167283,0.58
-0.0167251,0.58
-0.0167219,0.58
-0.0167187,0.58
-0.0167155,0.58
-0.0167123,0.58
-0.0167091,0.58
-0.0167059,0.58
-0.0167027,0.58
-0.0166995,0.58
-0.0166963,0.58
-0.0166931,0.58
-0.0166899,0.58
-0.0166867,0.62
-0.0166835,0.58
-0.0166803,0.58
-0.0166771,0.58
-0.0166739,0.58
-0.0166707,0.58
-0.0166675,0.58
-0.0166643,0.58
-0.0166611,0.58
-0.0166579,0.58
-0.0166547,0.58
-0.0166515,0.58
-0.0166483,0.58
-0.0166451,0.58
-0.0166419,0.54
-0.0166387,0.58
-0.0166355,0.58
-0.0166323,0.62
-0.0166291,0.58
-0.0166259,0.58
-0.0166227,0.58
-0.0166195,0.58
-0.0166163,0.58
-0.0166131,0.58
-0.0166099,0.58
-0.0166067,0.58
-0.0166035,0.58
-0.0166003,0.58
-0.0165971,0.58
-0.0165939,0.58
-0.0165907,0.58
-0.0165875,0.58
-0.0165843,0.58
-0.0165811,0.58
-0.0165779,0.58
-0.0165747,0.58
-0.0165715,0.54
-0.0165683,0.58
-0.0165651,0.58
-0.0165619,0.58
-0.0165587,0.58
-0.0165555,0.54
-0.0165523,0.58
-0.0165491,0.58
-0.0165459,0.58
-0.0165427,0.58
-0.0165395,0.58
-0.0165363,0.58
-0.0165331,0.58
-0.0165299,0.58
-0.0165267,0.58
-0.0165235,0.58
-0.0165203,0.58
-0.0165171,0.58
-0.0165139,0.58
-0.0165107,0.58
-0.0165075,0.58
-0.0165043,0.58
